brand,model,serie,reference,watch_type,second_watch_type,url,price_usd,msrp_eur,launch_price_eur,availability,quantity_produced,limited_edition_name,launch_date,case_material,bottom_case_material,diameter_mm,thickness_with_crystal_mm,thickness_without_crystal_mm,lug_to_lug_mm,case_shape,case_coating_pvd_dlc,case_finishing,drill_lugs_on_case,dial_color,dial_material,dial_type,dial_pattern,indices_type,hands_types,full_lume,lume_1,lume_2,color_match_date_wheel,movement,winding,power_reserve_hour,mph,hacking,manual_winding,complication_chronograph,complication_date,complication_dual_time,complication_flying_tourbillon,complication_gmt,complication_jump_hour,complication_power_reserve,complication_small_second,complication_sub_24_hour,complication_sub_second,complication_2nd_bezel_timezone,complication_moonphase,complication_world_time_zone,complication_alarm,complication_chronoscope,crystal_material,crystal_type_shape,inner_coating,outside_coating,bezel_insert_material,external_bezel_material,bezel_type,uni_bi_direction_bezel,number_of_clicks,internal_bezel,main_crown_type,other_crowns_function,strap_1_material,strap_2_material,strap_3_material,width_mm,bracelet_tapper_to_clasp_mm,bracelet_type,bracelet_links_type,bracelet_finishing,strap_bracelet_attachment_system,clasp_type,clasp_material,waterproofing_meters,warranty_year,brand_country,made_in,assembled_in,country,waterproofing,specific_info_from_brand,main_image,brand_website
Autodromo,Intereuropa,Manual Wind,Silver Blue Dial,-,No,https://www.extropian.co/watches/autodromo-intereuropa-manual-wind-silver-blue-dial,1250,,-,Yes,-,No,-,316L Stainless Steel,316L Stainless Steel,39,-,-,-,Round,No,Polished,No,Blue,-,Multi-layered,-,-,-,No,-,No,No,ETA 7001,Handwind,45,21.600 / 3Hz / 6 Movements Per Second,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Sapphire,-,-,-,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,-,No,Leather,No,No,-,-,-,-,-,Fixed,Pin Buckle,316L Stainless Steel,50,2,USA,-,-,USA,50,-,https://extropian.b-cdn.net/data/brand_images/Autodromo-Intereuropa-Manual Wind-Silver Blue Dial-bdbc?optimizer=image&quality=100,https://autodromo.com
Boldr,Expedition,All,Everest,-,-,https://www.extropian.co/watches/boldr-expedition-all-everest,599,,-,Sold Out,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,null,-,-,-,-,-,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://extropian.b-cdn.net/data/brand_images/Boldr-Expedition-II-Dune 7-a36b?optimizer=image&quality=100,https://www.boldrsupply.co
Aquatico,Super Star Bronze Tritium Black Dial(SWISS MADE ETA2824-2) No Date,All,-,-,-,https://www.extropian.co/watches/aquatico-super-star-bronze-tritium-black-dial-swiss-made-eta2824-2-no-date-all,878,799,-,Out of Stock,-,-,-,Bronze,316L Stainless Steel,42,14,14,22,-,-,Brushed,-,Black,-,-,-,-,-,No,-,-,-,Caliber  ETA28242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sapphire,-,No,-,Bronze,Bronze,-,-,-,-,-,-,Leather,-,-,22,-,-,-,-,-,-,-,300,1,-,-,-,-,300,-,https://extropian.b-cdn.net/data/brand_images/Aquatico-Super Star Bronze Tritium Black Dial(SWISS MADE ETA2824-2) No Date-All---cLAA?optimizer=image&quality=100,https://www.aquaticowatch.com
Autodromo,Vallelunga,Automatic,White Dial,Sport,No,https://www.extropian.co/watches/autodromo-vallelunga-automatic-white-dial,695,,-,Yes,-,No,-,316L Stainless Steel,316L Stainless Steel,40,12,-,-,Round,No,-,No,White,-,Plain,Matte,Painted,Custom,No,-,No,Yes,Miyota 8215/8N25,Automatic,60,21.600 / 3Hz / 6 Movements Per Second,No,Yes,No,Date,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Domed,-,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,-,No,Leather,No,No,20,-,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,50,2,USA,-,-,USA,50,-,https://extropian.b-cdn.net/data/brand_images/autodromo-automatic-vallelunga-white-dial-AyOD?optimizer=image&quality=100,https://autodromo.com
Aquatico,Steel Man Green Dial Ceramic Bezel Watch (NH35),All,-,-,-,https://www.extropian.co/watches/aquatico-steel-man-green-dial-ceramic-bezel-watch-nh35-all,658,599,-,Out of Stock,-,-,-,316L Stainless Steel,-,43,15.5,15.5,24,-,-,Brushed,-,Green,-,-,-,-,-,No,-,-,-,Seiko NH35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sapphire,-,No,-,316L Stainless Steel,316L Stainless Steel,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,1000,1,-,-,-,-,1000,-,https://extropian.b-cdn.net/data/brand_images/Aquatico-Steel Man Green Dial Ceramic Bezel Watch (NH35)-All---TyBa?optimizer=image&quality=100,https://www.aquaticowatch.com
Aquatico,Super Marine dive watch White dial Blue Bezel (PT5000)(Launch Special),All,-,-,-,https://www.extropian.co/watches/aquatico-super-marine-dive-watch-white-dial-blue-bezel-pt5000-launch-special-all,504,459,-,Yes,-,-,-,316L Stainless Steel,-,44,15.5,15.5,22,-,-,Brushed,-,White,Steel,-,Brushed,-,-,No,-,-,-,HKPC PT5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sapphire,-,No,-,316L Stainless Steel,316L Stainless Steel,-,-,-,No,-,-,-,-,-,22,-,-,-,-,-,-,-,1000,1,-,-,-,-,1000,-,https://extropian.b-cdn.net/data/brand_images/Aquatico-Super Marine dive watch White dial Blue Bezel (PT5000)(Launch Special)-All---LkoT?optimizer=image&quality=100,https://www.aquaticowatch.com
Autodromo,Group B,Rallysport Chronograph for Hodinkee,S4,Rally Chronograph,No,https://www.extropian.co/watches/autodromo-group-b-rallysport-chronograph-for-hodinkee-s4,1495,,-,Yes,100,No,-,Titanium,Titanium,39,-,13.6,49.75,Round,No,-,Yes,Blue,-,Multi-layered,Matte,Applied,Custom,No,-,No,No,Sellita SW510,Handwind,60,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Sapphire,-,Yes,No,No (Fixed),Titanium,Fixed,Fixed,-,No,Push / Pull,Chronograph,316L Stainless Steel,No,No,20,-,-,-,Brushed,Spring-bars,Butterfly,316L Stainless Steel,50,2,USA,-,-,USA,50,-,https://extropian.b-cdn.net/data/brand_images/autodromo-rallysport-chronograph-for-hodinkee-group-b--copy-t16-c0NT?optimizer=image&quality=100,https://autodromo.com
Aevig,Thule,GMT - Blasted,Brown,GMT,Sport,https://www.extropian.co/watches/aevig-thule-gmt-blasted-brown,823,749,749,Yes,25,No,2023-02-01,Titanium,Titanium,39,-,12.3,48.5,Cushion,Scratch-Resistant,Bead Blasted,No,Brown,-,Plain,Sunburst Gradient,Applied,Dauphine,No,C3 X1,No,No,Seiko NH34A,Automatic,41,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,Date,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Sapphire,Boxed Flat,Yes,No,No (Fixed),Titanium,Fixed,Fixed,-,No,Screwdown,No,Titanium,No,No,20,18,H Link,Screws,Bead Blasted,Quick Release Spring-bars,Fliplock Deployant Micro Adjust,316L Stainless Steel,100,2,Holland,-,China,Holland,100,-,https://extropian.b-cdn.net/data/brand_images/aevig-gmt-blasted-thule--copy-blue-YxMT?optimizer=image&quality=100,https://aevig.com
Atelier Jalaper,DB5,All,AJ001-S,Sport,No,https://www.extropian.co/watches/atelier-jalaper-db5-all-aj001-s,880,800,800,Yes,600,Yes,2020-07-29,316L Stainless Steel,316L Stainless Steel & Sapphire,40.5,11.5,11,49,Round,No,Brushed,No,Grey,Aluminum,Multi-layered,Brushed & Textured,Painted,Baton,No,No,No,No,Miyota 8215,Automatic,42,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,Date,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Flat,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,Push / Pull,No,Leather (Rally),No,No,18,90,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,30,2,Belgium,-,Switzerland,Belgium,30,Dial made from an Aston Martin DB5's bonnet,https://extropian.b-cdn.net/data/brand_images/Atelier Jalaper-DB5-All-AJ001-S-0571?optimizer=image&quality=100,https://atelierjalaper.com
Anordain,Model 2,(No Second Hand),Purple,Field,No,https://www.extropian.co/watches/anordain-model-2-no-second-hand-purple,1292,,-,Sold Out,-,No,-,316L Stainless Steel,316L Stainless Steel,36,11,-,43,Round,No,Brushed,No,Purple,Copper,Plain,Enamel,Applied,Custom,No,-,No,No,Sellita SW210-1,Automatic,38,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Double Domed,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,Push / Pull,No,Leather,No,No,18,-,-,-,-,Quick Release Spring-bars,Pin Buckle,316L Stainless Steel,50,5,Scotland,-,-,Scotland,50,No Second Hand,https://extropian.b-cdn.net/data/brand_images/Anordain-Model 2-(No Second Hand)-Purple-92c3?optimizer=image&quality=100,https://anordain.com
Baltic Watches,Tricompax,All,Panda,Rally Chronograph,No,https://www.extropian.co/watches/baltic-watches-tricompax-all-panda,1809,1645,-,Yes,-,No,2022-12-01,316L Stainless Steel,316L Stainless Steel,39.5,13.5,-,47,Round,No,Brushed,Yes,Beige,-,Textured,Textured,Applied,Dauphine,No,BGW9,No,No,Sellita SW510 M,Handwind,63,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Sapphire,Double Domed,Yes,No,Aluminum,316L Stainless Steel,Tachymeter,Fixed,-,No,-,Chronograph,316L Stainless Steel,No,No,20,-,-,-,Brushed,Quick Release Spring-bars,-,316L Stainless Steel,50,2,France,-,-,France,50,-,https://extropian.b-cdn.net/data/brand_images/baltic-watches-all-tricompax-panda-Q1NT?optimizer=image&quality=100,https://baltic-watches.com/en
Atelier Wen,Porcelain Odyssey,All,Hao Green Edition,Dress,No,https://www.extropian.co/watches/atelier-wen-porcelain-odyssey-all-hao-green-edition,800,,-,Sold Out,25,No,-,316L Stainless Steel,316L Stainless Steel,39,-,11.7,-,Round,No,Polished,No,White,Porcelain,Sector,-,Applied,Leaf,No,-,-,No,Peacock SL-3006,Automatic,41,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Sapphire,Double Domed,-,-,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,-,No,Suede,No,No,20,-,-,-,-,Quick Release Spring-bars,Pin Buckle,316L Stainless Steel,50,2,Hong Kong,-,-,Hong Kong,50,Ghost Date Removed,https://extropian.b-cdn.net/data/brand_images/Atelier Wen-Porcelain Odyssey-All-Hao Green Edition-cf89?optimizer=image&quality=100,https://atelierwen.com
Boldr,Globetrotter,GMT,Meteoblack,Diver GMT,No,https://www.extropian.co/watches/boldr-globetrotter-gmt-meteoblack,899,,-,Sold Out,-,No,-,316L Stainless Steel,316L Stainless Steel & Sapphire,44,14.5,14.5,50,Round,No,Brushed & Polished,No,Black,Meteorite,Plain,Meteorite,Applied,-,No,BGW9,No,Yes,ETA 2893-2 Elaboré,Automatic,50,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,Date,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Sapphire,Flat,-,-,Ceramic,316L Stainless Steel,GMT / World Time (24h),Bi,60,No,Screwdown,No,Rubber (Silicone),No,No,22,-,-,-,-,Spring-bars,Deployant Double Pushers Diver Extension,316L Stainless Steel,300,2.5,Singapore,-,-,Singapore,300,-,https://extropian.b-cdn.net/data/brand_images/Boldr-Globetrotter-GMT-Meteoblack-433e?optimizer=image&quality=100,https://www.boldrsupply.co
Anordain,Model 1,Sellita SW210 (hand wound) - Large,Teal,Dress,No,https://www.extropian.co/watches/anordain-model-1-sellita-sw210-hand-wound-large-teal,1995,,-,Out of Stock,-,No,-,316L Stainless Steel,316L Stainless Steel,41,11,-,50,Round,No,Polished,No,Teal,Copper,Plain,Enamel,Painted,Custom,No,-,No,No,Sellita SW210-1,Handwind,42,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,-,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,Push / Pull,No,Leather,No,No,20,-,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,50,5,Scotland,-,Scotland,Scotland,50,-,https://extropian.b-cdn.net/data/brand_images/Anordain-Model 1-All-Pink-6b9e?optimizer=image&quality=100,https://anordain.com
Aquatico,Big Pilot,43mm Bronze,Blue Dial,Pilot,No,https://www.extropian.co/watches/aquatico-big-pilot-43mm-bronze-blue-dial,306,279,-,Yes,-,No,-,Bronze,316L Stainless Steel & Sapphire,43,-,12.5,50,Round,No,Brushed,No,Blue,-,Textured,Textured,Painted,Sword,No,C3 SL,No,No,Seiko NH37A,Automatic,41,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,Date,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Sapphire,Domed,Yes,No,No (Fixed),Bronze,Fixed,Fixed,-,No,Screwdown,No,Leather,No,No,22,-,-,-,-,Spring-bars,Pin Buckle,Bronze,300,1,Hong Kong,-,-,Hong Kong,300,-,https://extropian.b-cdn.net/data/brand_images/aquatico-43mm-bronze-big-pilot--copy-green-dial-MyNT?optimizer=image&quality=100,https://www.aquaticowatch.com
Anordain,Model 1,La Joux Perret G100 (Automatic) - Large,Parisian Blue,Dress,No,https://www.extropian.co/watches/anordain-model-1-la-joux-perret-g100-automatic-large-parisian-blue,2295,,-,Out of Stock,-,No,-,316L Stainless Steel,316L Stainless Steel,41,11,-,50,Round,No,Polished,No,Blue,Copper,Plain,Enamel,Painted,Custom,No,-,No,No,La Joux-Perret G100 'Soigné',Automatic,68,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,-,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,-,No,Leather,No,No,20,-,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,50,5,Scotland,-,Scotland,Scotland,50,-,https://extropian.b-cdn.net/data/brand_images/Anordain-Model 1-All-Pink-6b9e?optimizer=image&quality=100,https://anordain.com
Aevig,Thule,Sportswatch brushed,Brown,Sport,No,https://www.extropian.co/watches/aevig-thule-sportswatch-brushed-brown,658,599,599,Yes,25,No,2023-02-01,Titanium,Titanium,39,-,12.3,48.5,Tonneau,Scratch-Resistant,Brushed,No,Brown,-,Plain,Sunburst,Applied,Dauphine,No,C3 X1,No,No,Seiko NH35A,Automatic,41,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,Date,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Flat,Yes,No,No (Fixed),No,Fixed,Fixed,-,No,Screwdown,No,Titanium,No,No,20,18,H Link,Screws,Brushed,Quick Release Spring-bars,Fliplock Deployant Micro Adjust,316L Stainless Steel,100,2,Holland,-,China,Holland,100,-,https://extropian.b-cdn.net/data/brand_images/aevig-sportswatch-automatic-thule-brown-cyND?optimizer=image&quality=100,https://aevig.com
Aquatico,Blue Angels,All,Blue Dial,Pilot,No,https://www.extropian.co/watches/aquatico-blue-angels-all-blue-dial,328,299,-,Sold Out,-,No,-,316L Stainless Steel,316L Stainless Steel & Sapphire,40,-,11,49,Round,No,Brushed,No,Blue,-,Sector,Glossy,Painted,Sword,No,BGW9,No,No,Seiko NH35A,Automatic,41,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,Date,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,-,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,Screwdown,No,Leather,No,No,22,-,-,-,Brushed,Quick Release Spring-bars,Pin Buckle,316L Stainless Steel,100,1,Hong Kong,-,-,Hong Kong,100,-,https://extropian.b-cdn.net/data/brand_images/aquatico-all-blue-angels--copy-black-dial-I2Mz?optimizer=image&quality=100,https://www.aquaticowatch.com
Aquatico,Sea Star V2 Black Dial Ceramic Bezel Snowflake Hands Watch (NH35),All,-,-,-,https://www.extropian.co/watches/aquatico-sea-star-v2-black-dial-ceramic-bezel-snowflake-hands-watch-nh35-all,394,359,-,Out of Stock,-,-,-,316L Stainless Steel,316L Stainless Steel,42,13,13,24,-,-,Brushed,-,Black,-,-,-,-,-,No,-,-,-,Seiko NH35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sapphire,-,No,-,316L Stainless Steel,316L Stainless Steel,-,-,-,-,-,-,316L Stainless Steel,-,-,24,-,-,-,Brushed,-,-,-,300,1,-,-,-,-,300,-,https://extropian.b-cdn.net/data/brand_images/Aquatico-Sea Star V2 Black Dial Ceramic Bezel Snowflake Hands Watch (NH35)-All---KZYf?optimizer=image&quality=100,https://www.aquaticowatch.com
